"","text","stringAsFactors"
"54","info persyaratan vaksin anak jika memerlukan bantuan saya dan bertanyatanya mengenai prihal vaksin bisa wa saya    proses mnt  nik  barcode sesuai  aman untuk dipergunakan  wilayah manapun bisa di bantu  amanah  gempabumi jokivaksin vaksin ",FALSE
"55","jadwal vaksinasi covid    november   untuk informasi lokasi dan jadwal vaksinasi lebih detil bisa dicek di akun instagram kelurahan kecamatan dan puskesmas kecamatan setempat  vaksin infojaktim jakartatimur ",FALSE
"56","semua negara di dunia ini menyerukan pentingnya imunisasi bahkan semua agama juga sama jangan pertaruhkan anak kita  ardisantoso dokteranak dokter indonesia anaksehat vaksin ",FALSE
"57","silahkan vaksinnya kak   tembus ke pedlindungi  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio utk order ya   zonauang zonajajan jasavaksin jokivaksin vaksin zonabu gempa ",FALSE
"58","praktek dr niken spa leomord vaksin kediri  kimia farma in kediri jawa timur w    ",FALSE
"59","dr niken spa vaksin leomord kediri rotarix hexaxim prevenar  kimia farma in kediri jawa timur w    ",FALSE
"60","pb   cm leomord kediri vaksin  kimia farma in kediri jawa timur w    ",FALSE
"61","yeaayyy leomord kediri vaksin  kimia farma in kediri jawa timur w   ",FALSE
"62","  ardisantoso dokteranak dokter indonesia anaksehat vaksin ",FALSE
"63","tidak perlu takut di vaksin vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus corona varian baru omicron ba dan ba vaksin ayovaksincovid ",FALSE
"64","pelayanan vaksin covid kubu raya buka kembali  buka di kantor dinas kesehatan kabupaten kubu raya setiap hari senin  jumat mulai pukul  sampai dengan jam  wib dengan jenis vaksin pfizer  editor humas kkr  vaksin dinkeskkr humaskkr promkeskkr kuburayamenanjak ",FALSE
"65","ready kembali jasa tembak vaksin  k  dosis   vaksin jasatembakvaksin zonauang",FALSE
"66","jasa vaksin amanah terima jasa vaksin  riset data do   proses mnt byr setelah jadi silahkan inbox saya atau wa cek ke bio saya insyaallah amanah   zonauang zonajajan jokivaksin sertifikatvaksin zonabu infoloker vaksinmembunuhmu vaksin ",FALSE
"67","  vaksin hnya unsur politik busukutk membantai rkyt scara berkalaberuntunglah orang yg antipati dg vaksin krna unfaedah bgi rkyat indonesiaanis",FALSE
"68","jadwal vaksinasi covid    november   untuk informasi lokasi dan jadwal vaksinasi lebih detil bisa dicek di akun instagram kelurahan kecamatan dan puskesmas kecamatan setempat  vaksin infojaktim jakartatimur ",FALSE
"69","bisa lumpuh seumur hidup idai marahi orangtua yang halangi anak divaksin polio  pidie aceh vaksin vaksinasi",FALSE
"70","sales esemka  gatot sales vaksin  wef bill gates sales kcic  gabrug sales ikn  meriang  sales imf   sukses sales worldbank  sukses  tapi tetap aja masuk  negara termiskin",FALSE
